HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Qatar,Ecuador,2022,0,2,2
Senegal,Netherlands,2022,0,2,2
Qatar,Senegal,2022,1,3,4
Netherlands,Ecuador,2022,1,1,2
Ecuador,Senegal,2022,1,2,3
Netherlands,Qatar,2022,2,0,2
England,Iran,2022,6,2,8
United States,Wales,2022,1,1,2
Wales,Iran,2022,0,2,2
England,United States,2022,0,0,0
Wales,England,2022,0,3,3
Iran,United States,2022,0,1,1
Argentina,Saudi Arabia,2022,1,2,3
Mexico,Poland,2022,0,0,0
Poland,Saudi Arabia,2022,2,0,2
Argentina,Mexico,2022,2,0,2
Poland,Argentina,2022,0,2,2
Saudi Arabia,Mexico,2022,1,2,3
Denmark,Tunisia,2022,0,0,0
France,Australia,2022,4,1,5
Tunisia,Australia,2022,0,1,1
France,Denmark,2022,2,1,3
Australia,Denmark,2022,1,0,1
Tunisia,France,2022,1,0,1
Germany,Japan,2022,1,2,3
Spain,Costa Rica,2022,7,0,7
Japan,Costa Rica,2022,0,1,1
Spain,Germany,2022,1,1,2
Japan,Spain,2022,0,0,0
Costa Rica,Germany,2022,0,0,0
Morocco,Croatia,2022,0,0,0
Belgium,Canada,2022,1,0,1
Belgium,Morocco,2022,0,2,2
Croatia,Canada,2022,4,1,5
Croatia,Belgium,2022,0,0,0
Canada,Morocco,2022,0,0,0
Switzerland,Cameroon,2022,1,0,1
Brazil,Serbia,2022,2,0,2
Cameroon,Serbia,2022,3,3,6
Brazil,Switzerland,2022,1,0,1
Serbia,Switzerland,2022,0,0,0
Cameroon,Brazil,2022,0,0,0
Uruguay,South Korea,2022,0,0,0
Portugal,Ghana,2022,3,2,5
South Korea,Ghana,2022,2,3,5
Portugal,Uruguay,2022,2,0,2
Ghana,Uruguay,2022,0,0,0
South Korea,Portugal,2022,0,0,0
Netherlands,United States,2022,0,0,0
Argentina,Australia,2022,0,0,0
France,Poland,2022,0,0,0
England,Senegal,2022,0,0,0
